,label_finbert,Open,High,Low,Adj Close,Volume,label_finbert t-2,label_finbert t-3,label_finbert t-4,label_finbert t-5,Open t-2,Open t-3,Open t-4,Open t-5,High t-2,High t-3,High t-4,High t-5,Low t-2,Low t-3,Low t-4,Low t-5,Adj Close t-2,Adj Close t-3,Adj Close t-4,Adj Close t-5,Volume t-2,Volume t-3,Volume t-4,Volume t-5,Close t-1,Close t-2,Close t-3,Close t-4
544,2.0,105.8000030517578,106.63999938964844,102.79000091552734,103.6500015258789,18776000.0,1.0,1.0,2.0,1.0,108.5,107.0999984741211,103.81999969482422,108.0500030517578,109.80999755859376,107.13999938964844,106.27999877929688,109.52999877929688,107.75,103.5500030517578,103.22000122070312,105.80999755859376,108.45999908447266,105.11000061035156,105.4499969482422,106.33000183105467,16281300.0,14329500.0,15337500.0,15982200.0,103.6500015258789,108.45999908447266,105.11000061035156,105.4499969482422
545,1.0,105.8000030517578,106.63999938964844,102.79000091552734,103.6500015258789,18776000.0,2.0,1.0,1.0,2.0,105.8000030517578,108.5,107.0999984741211,103.81999969482422,106.63999938964844,109.80999755859376,107.13999938964844,106.27999877929688,102.79000091552734,107.75,103.5500030517578,103.22000122070312,103.6500015258789,108.45999908447266,105.11000061035156,105.4499969482422,18776000.0,16281300.0,14329500.0,15337500.0,103.6500015258789,103.6500015258789,108.45999908447266,105.11000061035156
546,1.0,105.98999786376952,106.3499984741211,104.1500015258789,104.79000091552734,18538600.0,1.0,2.0,1.0,1.0,105.8000030517578,105.8000030517578,108.5,107.0999984741211,106.63999938964844,106.63999938964844,109.80999755859376,107.13999938964844,102.79000091552734,102.79000091552734,107.75,103.5500030517578,103.6500015258789,103.6500015258789,108.45999908447266,105.11000061035156,18776000.0,18776000.0,16281300.0,14329500.0,104.79000091552734,103.6500015258789,103.6500015258789,108.45999908447266
547,2.0,103.5500030517578,104.4800033569336,101.8499984741211,104.22000122070312,12978400.0,1.0,1.0,2.0,1.0,105.98999786376952,105.8000030517578,105.8000030517578,108.5,106.3499984741211,106.63999938964844,106.63999938964844,109.80999755859376,104.1500015258789,102.79000091552734,102.79000091552734,107.75,104.79000091552734,103.6500015258789,103.6500015258789,108.45999908447266,18538600.0,18776000.0,18776000.0,16281300.0,104.22000122070312,104.79000091552734,103.6500015258789,103.6500015258789
548,1.0,102.38999938964844,103.44000244140624,102.0,103.08000183105467,18230200.0,2.0,1.0,1.0,2.0,103.5500030517578,105.98999786376952,105.8000030517578,105.8000030517578,104.4800033569336,106.3499984741211,106.63999938964844,106.63999938964844,101.8499984741211,104.1500015258789,102.79000091552734,102.79000091552734,104.22000122070312,104.79000091552734,103.6500015258789,103.6500015258789,12978400.0,18538600.0,18776000.0,18776000.0,103.08000183105467,104.22000122070312,104.79000091552734,103.6500015258789
549,2.0,101.0,101.08999633789062,99.25,100.01000213623048,18121600.0,1.0,2.0,1.0,1.0,102.38999938964844,103.5500030517578,105.98999786376952,105.8000030517578,103.44000244140624,104.4800033569336,106.3499984741211,106.63999938964844,102.0,101.8499984741211,104.1500015258789,102.79000091552734,103.08000183105467,104.22000122070312,104.79000091552734,103.6500015258789,18230200.0,12978400.0,18538600.0,18776000.0,100.01000213623048,103.08000183105467,104.22000122070312,104.79000091552734
550,1.0,101.0,101.08999633789062,99.25,100.01000213623048,18121600.0,2.0,1.0,2.0,1.0,101.0,102.38999938964844,103.5500030517578,105.98999786376952,101.08999633789062,103.44000244140624,104.4800033569336,106.3499984741211,99.25,102.0,101.8499984741211,104.1500015258789,100.01000213623048,103.08000183105467,104.22000122070312,104.79000091552734,18121600.0,18230200.0,12978400.0,18538600.0,100.01000213623048,100.01000213623048,103.08000183105467,104.22000122070312
551,1.0,101.0,101.08999633789062,99.25,100.01000213623048,18121600.0,1.0,2.0,1.0,2.0,101.0,101.0,102.38999938964844,103.5500030517578,101.08999633789062,101.08999633789062,103.44000244140624,104.4800033569336,99.25,99.25,102.0,101.8499984741211,100.01000213623048,100.01000213623048,103.08000183105467,104.22000122070312,18121600.0,18121600.0,18230200.0,12978400.0,100.01000213623048,100.01000213623048,100.01000213623048,103.08000183105467
552,1.0,101.0,101.08999633789062,99.25,100.01000213623048,18121600.0,1.0,1.0,2.0,1.0,101.0,101.0,101.0,102.38999938964844,101.08999633789062,101.08999633789062,101.08999633789062,103.44000244140624,99.25,99.25,99.25,102.0,100.01000213623048,100.01000213623048,100.01000213623048,103.08000183105467,18121600.0,18121600.0,18121600.0,18230200.0,100.01000213623048,100.01000213623048,100.01000213623048,100.01000213623048
553,2.0,100.0999984741211,100.47000122070312,92.12999725341795,94.16000366210938,40482900.0,1.0,1.0,1.0,2.0,101.0,101.0,101.0,101.0,101.08999633789062,101.08999633789062,101.08999633789062,101.08999633789062,99.25,99.25,99.25,99.25,100.01000213623048,100.01000213623048,100.01000213623048,100.01000213623048,18121600.0,18121600.0,18121600.0,18121600.0,94.16000366210938,100.01000213623048,100.01000213623048,100.01000213623048
